    AspectRatio    Duration		    Character
    ___________    ________		    _________
		
      5.7308        0.401  		        J    
      1.6596        0.455  		        M    
      2.4063        0.275  		        V    
      3.7568        0.856  		        J    
        2.32         1.36  		        M    
      3.6774        0.706  		        V    
      6.2692        0.991  		        J    
      7.0417        0.754  		        J    
      1.7222        0.583  		        M    
       1.525         0.57  		        M    
